Vehicle Type,Distance (km),Is Weekend,Weather Code,Traffic Code,Day of Week,Month,Origin_Bangalore,Origin_Chennai,Origin_Delhi,Origin_Hyderabad,Origin_Jaipur,Origin_Kolkata,Origin_Lucknow,Origin_Mumbai,Origin_Pune,Destination_Bangalore,Destination_Chennai,Destination_Delhi,Destination_Hyderabad,Destination_Jaipur,Destination_Kolkata,Destination_Lucknow,Destination_Mumbai,Destination_Pune,Delayed
2,-1.4685166525149589,0,0,1,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,-0.26053866947089643,0,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2,0.5191736693460978,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.06018044526417262,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
2,-1.1977298550440323,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,-1.372492965468531,0,0,1,1,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2,1.112600055293022,1,1,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0.8552565740085952,1,0,2,5,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,-0.617746785283608,1,0,1,5,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,0.6670501473975967,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
3,1.2412717959352353,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,-0.717611419811893,0,0,1,3,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,-0.2163677734295396,0,0,1,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,1.2431922696761637,1,0,1,6,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3,-0.1088212439375404,0,0,1,2,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,1.4390805912508766,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,-0.09345745401011195,0,2,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1.5235814358517332,0,0,2,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,-0.18179924609282558,0,0,1,4,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,-0.5466892568692514,0,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,-0.37576709392660984,0,1,1,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,-0.6542357863612507,0,0,1,4,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
3,0.12931749993760067,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,1.5312633308154473,0,0,2,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
3,1.3430569042044487,1,0,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,1.650332702753018,0,1,3,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,1.233589900971521,0,0,1,3,11,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,-1.6932120802036,0,1,2,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,-0.717611419811893,0,0,2,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2,-1.1151494841841043,0,0,1,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,-1.1401156428161756,0,0,1,2,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3,-0.36232377774010993,0,0,1,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,-1.199650328784961,0,1,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0.8686998901950952,0,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1.6906626513125176,0,0,3,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,-0.7752256320397497,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,-0.10690077019661184,0,1,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,1.702185493758089,1,0,2,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2,-1.3763339129503882,0,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,0.7457895707756675,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,-0.6043034690971082,0,0,3,1,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,0.021770970445601476,0,0,1,3,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,1.346897851686306,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0.3482515064034562,1,0,1,6,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0.9743259459461658,0,0,1,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,-0.8558855291587492,0,1,1,1,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,-1.5299718122246726,0,0,2,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
0,-0.15683308746075433,0,0,1,4,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.999292104578237,0,1,1,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,-0.7425775784439642,0,0,2,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0.3847405074810988,1,0,1,6,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,-1.6624845003487432,1,0,1,6,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.38089955999924163,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0.4001042974085272,0,0,1,0,10,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
3,1.4313986962871623,1,2,3,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,-0.08193461156454061,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-1.6394388154576005,1,1,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,-1.6816892377580286,1,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,-1.3840158079141023,1,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,-0.13378740256961164,0,2,3,3,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2,1.0665086855107366,0,0,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,-0.8078736856355352,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.2272616607249571,0,1,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2,1.2393513221943067,0,0,3,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
1,1.5255019095926616,1,1,3,5,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
3,1.0722701067335223,0,0,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.029452865409315708,0,0,3,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,0.2445459243933141,0,2,2,3,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
2,1.4909333822559476,1,0,2,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,-1.4781190212196016,0,1,2,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2,1.2047827948575927,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1.546627120742876,0,0,1,4,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-1.3993795978415309,0,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0.7880399930760957,0,1,2,4,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,1.1663733200390216,1,0,3,5,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,-0.08769603278732628,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0.5518217229418833,0,1,1,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,-0.4180175162270381,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0.09666944634181521,1,0,1,6,7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,1.4045120639141626,1,0,3,5,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,1.5120585934061619,0,1,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,-0.8462831604541063,0,0,1,4,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,-0.3815285151493955,1,2,1,5,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0.8744613114178809,0,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,-1.216934592453318,1,0,2,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,-1.385936281655031,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,1.6138437016753753,1,1,3,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,-0.5947011003924654,1,0,2,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,1.5178200146289476,1,2,1,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,-0.27782293313925344,0,0,2,4,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,-0.1894811410565398,1,0,2,5,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,0.830290415376524,0,0,2,2,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,-0.1856401935746827,0,0,2,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,-0.8117146331173923,0,0,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0.25606876683888546,0,0,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,-1.1497180115208183,0,0,2,3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,-1.6624845003487432,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,-1.3302425431681026,1,0,2,5,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,1.1318047927023074,0,1,1,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0.6900958322887394,0,0,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,-1.441630020141959,0,0,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.7112210434389535,1,0,2,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
3,-0.33927809284896726,0,1,2,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0.3386491376988134,0,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,-0.6215877327654652,1,0,1,6,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,-1.051773850733462,0,0,2,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1.5600704369293756,0,0,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3,-0.48715457090046616,0,0,2,4,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
2,0.9551212085368802,0,0,1,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.281601744494735,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,-0.9365454262777485,1,1,2,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,1.085713422920022,0,0,1,4,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,0.7246643596254534,0,1,2,2,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,1.268158428308235,0,0,1,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0.8514156265267382,0,0,1,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,1.5792751743386613,0,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1.437160117509948,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0.6766525161022394,0,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0.9378369448685232,0,2,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3,-1.3398449118727456,0,1,3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
