Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Delay Duration,Shipment Duration,Is Weekend,Weather Code,Traffic Code,Distance_Traffic,Traffic_Weather,Day of Week,Month,Quarter
SHIP000014,Hyderabad,Mumbai,2023-09-15,2023-09-17,2023-09-17,Lorry,778,Clear,Light,No,0,2,0,0,1,778,0,4,9,3
SHIP000015,Pune,Kolkata,2024-05-16,2024-05-21,2024-05-26,Truck,1671,Clear,Moderate,Yes,5,5,0,0,2,3342,0,3,5,2
SHIP000016,Chennai,Bangalore,2023-07-28,2023-08-02,2023-08-03,Truck,1624,Clear,Moderate,Yes,1,5,0,0,2,3248,0,4,7,3
SHIP000017,Lucknow,Pune,2023-11-28,2023-11-29,2023-11-29,Truck,314,Clear,Light,No,0,1,0,0,1,314,0,1,11,4
SHIP000018,Jaipur,Mumbai,2023-09-03,2023-09-04,2023-09-07,Truck,362,Fog,Moderate,Yes,3,1,1,2,2,724,4,6,9,3
SHIP000019,Pune,Lucknow,2024-02-02,2024-02-07,2024-02-08,Lorry,1691,Rain,Light,Yes,1,5,0,1,1,1691,1,4,2,1
SHIP000020,Chennai,Jaipur,2024-04-12,2024-04-15,2024-04-15,Container,999,Clear,Light,No,0,3,0,0,1,999,0,4,4,2
SHIP000021,Lucknow,Pune,2023-11-13,2023-11-19,2023-11-19,Truck,1831,Clear,Light,No,0,6,0,0,1,1831,0,0,11,4
SHIP000022,Jaipur,Chennai,2023-06-24,2023-06-29,2023-06-29,Lorry,1522,Clear,Light,No,0,5,1,0,1,1522,0,5,6,2
SHIP000023,Jaipur,Ahmedabad,2023-05-04,2023-05-10,2023-05-11,Truck,1885,Rain,Light,Yes,1,6,0,1,1,1885,1,3,5,2
SHIP000024,Jaipur,Ahmedabad,2023-12-20,2023-12-23,2023-12-23,Truck,935,Clear,Light,No,0,3,0,0,1,935,0,2,12,4
SHIP000025,Delhi,Chennai,2023-11-30,2023-12-01,2023-12-03,Lorry,531,Rain,Moderate,Yes,2,1,0,1,2,1062,2,3,11,4
SHIP000026,Kolkata,Chennai,2023-05-22,2023-05-26,2023-05-26,Container,1328,Clear,Light,No,0,4,0,0,1,1328,0,0,5,2
SHIP000027,Hyderabad,Pune,2023-10-31,2023-11-05,2023-11-07,Trailer,1768,Clear,Heavy,Yes,2,5,0,0,3,5304,0,1,10,4
SHIP000028,Pune,Chennai,2023-08-19,2023-08-25,2023-08-25,Container,1997,Clear,Light,No,0,6,1,0,1,1997,0,5,8,3
SHIP000029,Ahmedabad,Kolkata,2023-08-12,2023-08-13,2023-08-13,Lorry,215,Clear,Light,No,0,1,1,0,1,215,0,5,8,3
SHIP000030,Hyderabad,Pune,2023-08-19,2023-08-24,2023-08-27,Trailer,1568,Rain,Heavy,Yes,3,5,1,1,3,4704,3,5,8,3
SHIP000031,Jaipur,Ahmedabad,2024-04-13,2024-04-14,2024-04-14,Lorry,227,Clear,Light,No,0,1,1,0,1,227,0,5,4,2
SHIP000032,Ahmedabad,Hyderabad,2023-05-05,2023-05-10,2023-05-13,Lorry,1621,Rain,Heavy,Yes,3,5,0,1,3,4863,3,4,5,2
SHIP000033,Ahmedabad,Mumbai,2024-04-19,2024-04-24,2024-04-26,Truck,1582,Clear,Light,Yes,2,5,0,0,1,1582,0,4,4,2
SHIP000034,Pune,Chennai,2023-10-05,2023-10-07,2023-10-07,Lorry,806,Clear,Light,No,0,2,0,0,1,806,0,3,10,4
SHIP000035,Mumbai,Delhi,2023-01-03,2023-01-04,2023-01-09,Trailer,291,Clear,Light,Yes,5,1,0,0,1,291,0,1,1,1
SHIP000036,Chennai,Kolkata,2023-10-10,2023-10-12,2023-10-14,Lorry,785,Fog,Light,Yes,2,2,0,2,1,785,2,1,10,4
SHIP000037,Lucknow,Chennai,2023-11-23,2023-11-29,2023-11-29,Truck,1886,Clear,Light,No,0,6,0,0,1,1886,0,3,11,4
SHIP000038,Pune,Mumbai,2023-07-24,2023-07-27,2023-07-27,Trailer,961,Clear,Light,No,0,3,0,0,1,961,0,0,7,3
SHIP000039,Delhi,Jaipur,2024-02-09,2024-02-15,2024-02-18,Trailer,1968,Clear,Light,Yes,3,6,0,0,1,1968,0,4,2,1
SHIP000040,Chennai,Pune,2023-05-31,2023-06-01,2023-06-04,Lorry,333,Clear,Light,Yes,3,1,0,0,1,333,0,2,5,2
SHIP000041,Chennai,Pune,2023-06-07,2023-06-12,2023-06-14,Trailer,1513,Clear,Heavy,Yes,2,5,0,0,3,4539,0,2,6,2
SHIP000042,Ahmedabad,Kolkata,2023-12-25,2023-12-29,2023-12-30,Lorry,1228,Clear,Moderate,Yes,1,4,0,0,2,2456,0,0,12,4
SHIP000043,Kolkata,Mumbai,2023-06-19,2023-06-21,2023-06-24,Lorry,872,Rain,Heavy,Yes,3,2,0,1,3,2616,3,0,6,2
SHIP000044,Mumbai,Jaipur,2023-11-28,2023-11-30,2023-11-30,Container,812,Clear,Light,No,0,2,0,0,1,812,0,1,11,4
SHIP000045,Ahmedabad,Delhi,2024-04-13,2024-04-17,2024-04-19,Container,1244,Clear,Light,Yes,2,4,1,0,1,1244,0,5,4,2
SHIP000046,Mumbai,Ahmedabad,2023-11-29,2023-11-30,2023-12-01,Truck,355,Clear,Moderate,Yes,1,1,0,0,2,710,0,2,11,4
SHIP000047,Mumbai,Jaipur,2024-05-17,2024-05-20,2024-05-20,Container,1193,Clear,Light,No,0,3,0,0,1,1193,0,4,5,2
SHIP000048,Pune,Ahmedabad,2023-08-07,2023-08-11,2023-08-12,Truck,1317,Clear,Moderate,Yes,1,4,0,0,2,2634,0,0,8,3
SHIP000049,Hyderabad,Bangalore,2023-05-08,2023-05-14,2023-05-16,Trailer,1969,Fog,Light,Yes,2,6,0,2,1,1969,2,0,5,2
SHIP000050,Jaipur,Lucknow,2023-02-23,2023-02-26,2023-02-26,Truck,952,Clear,Light,No,0,3,0,0,1,952,0,3,2,1
SHIP000051,Chennai,Delhi,2024-03-25,2024-03-27,2024-03-28,Lorry,604,Clear,Moderate,Yes,1,2,0,0,2,1208,0,0,3,1
SHIP000052,Kolkata,Bangalore,2024-01-29,2024-02-01,2024-02-01,Truck,1174,Clear,Light,No,0,3,0,0,1,1174,0,0,1,1
SHIP000053,Lucknow,Hyderabad,2023-02-26,2023-02-27,2023-02-27,Trailer,362,Clear,Light,No,0,1,1,0,1,362,0,6,2,1
SHIP000054,Delhi,Kolkata,2023-02-28,2023-03-03,2023-03-04,Container,1005,Clear,Moderate,Yes,1,3,0,0,2,2010,0,1,2,1
SHIP000055,Bangalore,Chennai,2023-03-05,2023-03-09,2023-03-12,Container,1250,Clear,Light,Yes,3,4,1,0,1,1250,0,6,3,1
SHIP000056,Hyderabad,Pune,2023-10-27,2023-10-31,2023-11-02,Truck,1286,Fog,Light,Yes,2,4,0,2,1,1286,2,4,10,4
SHIP000057,Kolkata,Jaipur,2023-07-31,2023-08-05,2023-08-12,Container,1521,Fog,Light,Yes,7,5,0,2,1,1521,2,0,7,3
SHIP000058,Chennai,Mumbai,2024-04-01,2024-04-04,2024-04-06,Lorry,921,Fog,Light,Yes,2,3,0,2,1,921,2,0,4,2
SHIP000059,Ahmedabad,Kolkata,2024-03-02,2024-03-06,2024-03-07,Lorry,1413,Rain,Light,Yes,1,4,1,1,1,1413,1,5,3,1
SHIP000060,Lucknow,Bangalore,2023-03-10,2023-03-11,2023-03-12,Lorry,554,Clear,Moderate,Yes,1,1,0,0,2,1108,0,4,3,1
SHIP000061,Chennai,Pune,2023-01-27,2023-01-28,2023-01-31,Lorry,523,Clear,Light,Yes,3,1,0,0,1,523,0,4,1,1
SHIP000062,Jaipur,Mumbai,2023-09-01,2023-09-05,2023-09-06,Container,1367,Clear,Moderate,Yes,1,4,0,0,2,2734,0,4,9,3
SHIP000063,Chennai,Delhi,2023-08-03,2023-08-08,2023-08-13,Trailer,1677,Rain,Light,Yes,5,5,0,1,1,1677,1,3,8,3
SHIP000064,Hyderabad,Lucknow,2024-03-30,2024-03-31,2024-03-31,Container,458,Clear,Light,No,0,1,1,0,1,458,0,5,3,1
SHIP000065,Delhi,Kolkata,2023-12-11,2023-12-12,2023-12-15,Container,496,Clear,Moderate,Yes,3,1,0,0,2,992,0,0,12,4
SHIP000066,Hyderabad,Ahmedabad,2024-03-04,2024-03-08,2024-03-10,Lorry,1311,Clear,Heavy,Yes,2,4,0,0,3,3933,0,0,3,1
SHIP000067,Lucknow,Pune,2024-05-08,2024-05-09,2024-05-13,Container,455,Clear,Light,Yes,4,1,0,0,1,455,0,2,5,2
SHIP000068,Bangalore,Kolkata,2023-07-06,2023-07-07,2023-07-09,Truck,550,Clear,Light,Yes,2,1,0,0,1,550,0,3,7,3
SHIP000069,Lucknow,Kolkata,2023-01-14,2023-01-19,2023-01-20,Container,1718,Clear,Moderate,Yes,1,5,1,0,2,3436,0,5,1,1
SHIP000070,Chennai,Hyderabad,2023-08-23,2023-08-25,2023-08-26,Trailer,617,Clear,Moderate,Yes,1,2,0,0,2,1234,0,2,8,3
SHIP000071,Chennai,Bangalore,2023-12-05,2023-12-07,2023-12-11,Container,879,Clear,Heavy,Yes,4,2,0,0,3,2637,0,1,12,4
SHIP000072,Lucknow,Mumbai,2023-12-25,2023-12-27,2023-12-28,Lorry,683,Clear,Moderate,Yes,1,2,0,0,2,1366,0,0,12,4
SHIP000073,Lucknow,Ahmedabad,2023-01-05,2023-01-07,2023-01-08,Lorry,629,Clear,Moderate,Yes,1,2,0,0,2,1258,0,3,1,1
SHIP000074,Hyderabad,Delhi,2023-12-20,2023-12-23,2023-12-23,Lorry,1085,Clear,Light,No,0,3,0,0,1,1085,0,2,12,4
SHIP000075,Mumbai,Delhi,2024-03-04,2024-03-08,2024-03-12,Truck,1244,Rain,Moderate,Yes,4,4,0,1,2,2488,2,0,3,1
SHIP000076,Mumbai,Chennai,2023-11-14,2023-11-19,2023-11-20,Trailer,1618,Rain,Light,Yes,1,5,0,1,1,1618,1,1,11,4
SHIP000077,Delhi,Kolkata,2023-07-01,2023-07-04,2023-07-05,Container,1154,Clear,Moderate,Yes,1,3,1,0,2,2308,0,5,7,3
SHIP000078,Kolkata,Bangalore,2023-04-07,2023-04-13,2023-04-15,Lorry,1880,Rain,Moderate,Yes,2,6,0,1,2,3760,2,4,4,2
SHIP000079,Mumbai,Hyderabad,2023-09-23,2023-09-24,2023-09-24,Container,336,Clear,Light,No,0,1,1,0,1,336,0,5,9,3
SHIP000080,Pune,Jaipur,2023-10-06,2023-10-12,2023-10-18,Lorry,1849,Clear,Moderate,Yes,6,6,0,0,2,3698,0,4,10,4
SHIP000081,Jaipur,Ahmedabad,2024-02-24,2024-02-25,2024-02-27,Truck,421,Rain,Moderate,Yes,2,1,1,1,2,842,2,5,2,1
SHIP000082,Ahmedabad,Bangalore,2023-12-26,2023-12-28,2023-12-31,Truck,725,Clear,Moderate,Yes,3,2,0,0,2,1450,0,1,12,4
SHIP000083,Mumbai,Chennai,2023-09-26,2023-09-30,2023-10-02,Truck,1293,Clear,Light,Yes,2,4,0,0,1,1293,0,1,9,3
SHIP000084,Chennai,Lucknow,2023-05-06,2023-05-12,2023-05-14,Lorry,1848,Fog,Light,Yes,2,6,1,2,1,1848,2,5,5,2
SHIP000085,Jaipur,Kolkata,2023-12-22,2023-12-26,2023-12-28,Trailer,1353,Clear,Light,Yes,2,4,0,0,1,1353,0,4,12,4
SHIP000086,Ahmedabad,Bangalore,2024-04-01,2024-04-02,2024-04-02,Trailer,564,Clear,Light,No,0,1,0,0,1,564,0,0,4,2
SHIP000087,Kolkata,Jaipur,2023-09-25,2023-10-01,2023-10-01,Trailer,1814,Clear,Light,No,0,6,0,0,1,1814,0,0,9,3
SHIP000088,Lucknow,Delhi,2023-07-18,2023-07-19,2023-07-26,Truck,408,Fog,Light,Yes,7,1,0,2,1,408,2,1,7,3
SHIP000089,Bangalore,Kolkata,2024-04-07,2024-04-08,2024-04-08,Trailer,587,Clear,Light,No,0,1,1,0,1,587,0,6,4,2
SHIP000090,Chennai,Jaipur,2023-04-01,2023-04-04,2023-04-05,Container,1017,Clear,Moderate,Yes,1,3,1,0,2,2034,0,5,4,2
SHIP000091,Bangalore,Lucknow,2024-03-10,2024-03-12,2024-03-17,Truck,627,Rain,Moderate,Yes,5,2,1,1,2,1254,2,6,3,1
SHIP000092,Mumbai,Kolkata,2023-03-26,2023-03-28,2023-04-02,Truck,602,Clear,Light,Yes,5,2,1,0,1,602,0,6,3,1
SHIP000093,Pune,Delhi,2023-04-24,2023-04-25,2023-04-28,Trailer,520,Clear,Light,Yes,3,1,0,0,1,520,0,0,4,2
SHIP000094,Jaipur,Bangalore,2023-11-17,2023-11-21,2023-11-23,Lorry,1382,Clear,Heavy,Yes,2,4,0,0,3,4146,0,4,11,4
SHIP000095,Pune,Hyderabad,2023-04-28,2023-04-29,2023-05-03,Lorry,518,Clear,Heavy,Yes,4,1,0,0,3,1554,0,4,4,2
SHIP000096,Delhi,Pune,2024-03-09,2024-03-14,2024-03-16,Trailer,1585,Fog,Light,Yes,2,5,1,2,1,1585,2,5,3,1
SHIP000097,Mumbai,Lucknow,2023-12-22,2023-12-28,2023-12-30,Container,1861,Clear,Light,Yes,2,6,0,0,1,1861,0,4,12,4
SHIP000098,Chennai,Hyderabad,2023-03-03,2023-03-04,2023-03-06,Truck,232,Fog,Light,Yes,2,1,0,2,1,232,2,4,3,1
SHIP000099,Hyderabad,Mumbai,2023-05-02,2023-05-05,2023-05-09,Container,1040,Fog,Heavy,Yes,4,3,0,2,3,3120,6,1,5,2
SHIP000100,Mumbai,Ahmedabad,2023-11-21,2023-11-25,2023-11-29,Container,1414,Rain,Moderate,Yes,4,4,0,1,2,2828,2,1,11,4
SHIP000101,Ahmedabad,Delhi,2023-05-27,2023-05-30,2023-05-31,Lorry,1115,Clear,Moderate,Yes,1,3,1,0,2,2230,0,5,5,2
SHIP000102,Jaipur,Ahmedabad,2023-10-28,2023-11-02,2023-11-04,Trailer,1708,Clear,Heavy,Yes,2,5,1,0,3,5124,0,5,10,4
SHIP000103,Ahmedabad,Bangalore,2024-02-28,2024-03-05,2024-03-10,Trailer,1839,Clear,Heavy,Yes,5,6,0,0,3,5517,0,2,2,1
SHIP000104,Jaipur,Delhi,2023-05-30,2023-06-03,2023-06-04,Container,1495,Clear,Moderate,Yes,1,4,0,0,2,2990,0,1,5,2
SHIP000105,Delhi,Ahmedabad,2024-04-17,2024-04-21,2024-04-21,Lorry,1340,Clear,Light,No,0,4,0,0,1,1340,0,2,4,2
SHIP000106,Kolkata,Ahmedabad,2023-05-31,2023-06-01,2023-06-03,Trailer,364,Clear,Heavy,Yes,2,1,0,0,3,1092,0,2,5,2
SHIP000107,Kolkata,Ahmedabad,2023-12-04,2023-12-09,2023-12-12,Truck,1726,Fog,Moderate,Yes,3,5,0,2,2,3452,4,0,12,4
SHIP000108,Mumbai,Ahmedabad,2023-03-02,2023-03-05,2023-03-06,Truck,1172,Rain,Light,Yes,1,3,0,1,1,1172,1,3,3,1
SHIP000109,Hyderabad,Kolkata,2023-12-16,2023-12-17,2023-12-19,Lorry,501,Clear,Heavy,Yes,2,1,1,0,3,1503,0,5,12,4
SHIP000110,Jaipur,Hyderabad,2023-04-18,2023-04-21,2023-04-23,Lorry,1040,Clear,Heavy,Yes,2,3,0,0,3,3120,0,1,4,2
SHIP000111,Mumbai,Ahmedabad,2024-04-19,2024-04-24,2024-04-29,Trailer,1635,Fog,Light,Yes,5,5,0,2,1,1635,2,4,4,2
SHIP000112,Ahmedabad,Kolkata,2023-05-11,2023-05-15,2023-05-16,Truck,1259,Clear,Moderate,Yes,1,4,0,0,2,2518,0,3,5,2
SHIP000113,Lucknow,Ahmedabad,2024-03-20,2024-03-22,2024-03-22,Truck,779,Clear,Light,No,0,2,0,0,1,779,0,2,3,1
SHIP000114,Ahmedabad,Mumbai,2023-07-20,2023-07-22,2023-07-28,Trailer,795,Clear,Moderate,Yes,6,2,0,0,2,1590,0,3,7,3
SHIP000115,Mumbai,Ahmedabad,2024-01-26,2024-01-27,2024-01-27,Lorry,215,Clear,Light,No,0,1,0,0,1,215,0,4,1,1
SHIP000116,Hyderabad,Mumbai,2024-01-26,2024-01-28,2024-01-30,Container,719,Clear,Heavy,Yes,2,2,0,0,3,2157,0,4,1,1
SHIP000117,Chennai,Bangalore,2023-10-06,2023-10-11,2023-10-11,Lorry,1625,Clear,Light,No,0,5,0,0,1,1625,0,4,10,4
SHIP000118,Kolkata,Delhi,2023-07-14,2023-07-20,2023-07-25,Truck,1980,Clear,Heavy,Yes,5,6,0,0,3,5940,0,4,7,3
SHIP000119,Pune,Lucknow,2023-05-21,2023-05-27,2023-05-29,Trailer,1937,Clear,Light,Yes,2,6,1,0,1,1937,0,6,5,2
SHIP000120,Bangalore,Mumbai,2023-05-12,2023-05-18,2023-05-19,Lorry,1802,Clear,Moderate,Yes,1,6,0,0,2,3604,0,4,5,2
SHIP000121,Pune,Mumbai,2024-01-24,2024-01-25,2024-01-26,Truck,361,Clear,Moderate,Yes,1,1,0,0,2,722,0,2,1,1
SHIP000122,Bangalore,Kolkata,2023-09-18,2023-09-23,2023-09-24,Trailer,1638,Clear,Moderate,Yes,1,5,0,0,2,3276,0,0,9,3
SHIP000123,Jaipur,Bangalore,2023-05-05,2023-05-10,2023-05-10,Trailer,1703,Clear,Light,No,0,5,0,0,1,1703,0,4,5,2
SHIP000124,Bangalore,Delhi,2023-02-11,2023-02-12,2023-02-12,Lorry,410,Clear,Light,No,0,1,1,0,1,410,0,5,2,1
SHIP000125,Delhi,Bangalore,2024-03-22,2024-03-23,2024-03-24,Truck,321,Clear,Moderate,Yes,1,1,0,0,2,642,0,4,3,1
SHIP000126,Kolkata,Chennai,2023-10-20,2023-10-21,2023-10-22,Lorry,517,Clear,Moderate,Yes,1,1,0,0,2,1034,0,4,10,4
SHIP000127,Ahmedabad,Hyderabad,2024-03-02,2024-03-05,2024-03-05,Lorry,953,Clear,Light,No,0,3,1,0,1,953,0,5,3,1
SHIP000128,Mumbai,Hyderabad,2024-03-22,2024-03-28,2024-03-29,Container,1926,Clear,Moderate,Yes,1,6,0,0,2,3852,0,4,3,1
SHIP000129,Jaipur,Hyderabad,2023-03-09,2023-03-13,2023-03-15,Container,1313,Clear,Heavy,Yes,2,4,0,0,3,3939,0,3,3,1
SHIP000130,Mumbai,Ahmedabad,2023-06-15,2023-06-16,2023-06-18,Trailer,578,Clear,Light,Yes,2,1,0,0,1,578,0,3,6,2
SHIP000131,Lucknow,Chennai,2023-12-23,2023-12-25,2023-12-28,Lorry,772,Clear,Moderate,Yes,3,2,1,0,2,1544,0,5,12,4
SHIP000132,Bangalore,Delhi,2024-02-21,2024-02-24,2024-02-25,Lorry,1073,Clear,Moderate,Yes,1,3,0,0,2,2146,0,2,2,1
SHIP000133,Hyderabad,Chennai,2024-01-13,2024-01-16,2024-01-16,Truck,1120,Clear,Light,No,0,3,1,0,1,1120,0,5,1,1
SHIP000134,Ahmedabad,Hyderabad,2023-12-15,2023-12-20,2023-12-24,Lorry,1771,Clear,Heavy,Yes,4,5,0,0,3,5313,0,4,12,4
SHIP000135,Jaipur,Pune,2023-07-04,2023-07-06,2023-07-06,Truck,656,Clear,Light,No,0,2,0,0,1,656,0,1,7,3
SHIP000136,Pune,Hyderabad,2023-03-08,2023-03-11,2023-03-16,Container,1112,Clear,Moderate,Yes,5,3,0,0,2,2224,0,2,3,1
SHIP000137,Mumbai,Hyderabad,2023-05-07,2023-05-08,2023-05-08,Lorry,337,Clear,Light,No,0,1,1,0,1,337,0,6,5,2
SHIP000138,Chennai,Hyderabad,2023-11-06,2023-11-09,2023-11-09,Container,1189,Clear,Light,No,0,3,0,0,1,1189,0,0,11,4
SHIP000139,Hyderabad,Mumbai,2024-04-29,2024-05-04,2024-05-05,Trailer,1610,Clear,Moderate,Yes,1,5,0,0,2,3220,0,0,4,2
SHIP000140,Lucknow,Chennai,2023-12-18,2023-12-22,2023-12-24,Lorry,1255,Fog,Light,Yes,2,4,0,2,1,1255,2,0,12,4
SHIP000141,Chennai,Ahmedabad,2024-05-08,2024-05-11,2024-05-12,Container,1101,Clear,Moderate,Yes,1,3,0,0,2,2202,0,2,5,2
SHIP000142,Mumbai,Kolkata,2023-07-29,2023-08-02,2023-08-04,Container,1334,Rain,Moderate,Yes,2,4,1,1,2,2668,2,5,7,3
SHIP000143,Chennai,Kolkata,2023-06-05,2023-06-10,2023-06-11,Lorry,1783,Rain,Light,Yes,1,5,0,1,1,1783,1,0,6,2
SHIP000144,Chennai,Pune,2023-04-23,2023-04-25,2023-04-25,Truck,603,Clear,Light,No,0,2,1,0,1,603,0,6,4,2
SHIP000145,Bangalore,Kolkata,2023-10-28,2023-11-01,2023-11-01,Lorry,1275,Clear,Light,No,0,4,1,0,1,1275,0,5,10,4
SHIP000146,Chennai,Delhi,2024-04-26,2024-04-27,2024-04-27,Container,581,Clear,Light,No,0,1,0,0,1,581,0,4,4,2
SHIP000147,Pune,Ahmedabad,2023-05-21,2023-05-25,2023-05-28,Container,1374,Clear,Light,Yes,3,4,1,0,1,1374,0,6,5,2
SHIP000148,Ahmedabad,Hyderabad,2023-10-29,2023-10-30,2023-11-06,Trailer,203,Fog,Heavy,Yes,7,1,1,2,3,609,6,6,10,4
SHIP000149,Mumbai,Kolkata,2023-03-24,2023-03-25,2023-03-27,Container,476,Fog,Light,Yes,2,1,0,2,1,476,2,4,3,1
SHIP000150,Hyderabad,Jaipur,2024-04-08,2024-04-10,2024-04-10,Truck,600,Clear,Light,No,0,2,0,0,1,600,0,0,4,2
SHIP000151,Pune,Lucknow,2024-02-21,2024-02-25,2024-03-01,Lorry,1448,Clear,Light,Yes,5,4,0,0,1,1448,0,2,2,1
SHIP000152,Kolkata,Lucknow,2023-11-02,2023-11-06,2023-11-06,Truck,1430,Clear,Light,No,0,4,0,0,1,1430,0,3,11,4
SHIP000153,Bangalore,Hyderabad,2023-03-05,2023-03-06,2023-03-06,Lorry,272,Clear,Light,No,0,1,1,0,1,272,0,6,3,1
SHIP000154,Pune,Lucknow,2023-07-21,2023-07-26,2023-07-31,Trailer,1568,Rain,Light,Yes,5,5,0,1,1,1568,1,4,7,3
SHIP000155,Pune,Kolkata,2023-08-15,2023-08-20,2023-08-22,Trailer,1578,Clear,Heavy,Yes,2,5,0,0,3,4734,0,1,8,3
SHIP000156,Kolkata,Mumbai,2024-01-07,2024-01-10,2024-01-11,Lorry,1173,Rain,Light,Yes,1,3,1,1,1,1173,1,6,1,1
SHIP000157,Hyderabad,Ahmedabad,2023-12-12,2023-12-14,2023-12-18,Trailer,826,Clear,Light,Yes,4,2,0,0,1,826,0,1,12,4
SHIP000158,Ahmedabad,Bangalore,2024-03-31,2024-04-03,2024-04-03,Truck,1067,Clear,Light,No,0,3,1,0,1,1067,0,6,3,1
SHIP000159,Bangalore,Hyderabad,2023-08-21,2023-08-26,2023-08-27,Trailer,1764,Clear,Moderate,Yes,1,5,0,0,2,3528,0,0,8,3
SHIP000160,Delhi,Ahmedabad,2024-04-22,2024-04-26,2024-04-28,Truck,1238,Clear,Heavy,Yes,2,4,0,0,3,3714,0,0,4,2
SHIP000161,Hyderabad,Ahmedabad,2024-05-22,2024-05-23,2024-05-24,Lorry,564,Clear,Moderate,Yes,1,1,0,0,2,1128,0,2,5,2
SHIP000162,Ahmedabad,Kolkata,2024-06-01,2024-06-04,2024-06-05,Container,957,Rain,Light,Yes,1,3,1,1,1,957,1,5,6,2
SHIP000163,Lucknow,Jaipur,2023-02-19,2023-02-24,2023-02-25,Truck,1646,Clear,Moderate,Yes,1,5,1,0,2,3292,0,6,2,1
SHIP000164,Delhi,Bangalore,2024-02-19,2024-02-21,2024-02-21,Lorry,625,Clear,Light,No,0,2,0,0,1,625,0,0,2,1
SHIP000165,Chennai,Bangalore,2023-07-10,2023-07-16,2023-07-17,Lorry,1938,Rain,Light,Yes,1,6,0,1,1,1938,1,0,7,3
SHIP000166,Bangalore,Pune,2023-08-24,2023-08-25,2023-08-27,Trailer,282,Clear,Heavy,Yes,2,1,0,0,3,846,0,3,8,3
SHIP000167,Kolkata,Mumbai,2023-07-01,2023-07-06,2023-07-07,Trailer,1635,Clear,Moderate,Yes,1,5,1,0,2,3270,0,5,7,3
SHIP000168,Lucknow,Pune,2023-02-01,2023-02-06,2023-02-09,Lorry,1708,Clear,Light,Yes,3,5,0,0,1,1708,0,2,2,1
SHIP000169,Kolkata,Bangalore,2023-08-29,2023-09-01,2023-09-01,Truck,1019,Clear,Light,No,0,3,0,0,1,1019,0,1,8,3
SHIP000170,Delhi,Mumbai,2023-01-12,2023-01-13,2023-01-16,Lorry,522,Rain,Light,Yes,3,1,0,1,1,522,1,3,1,1
SHIP000171,Bangalore,Ahmedabad,2024-04-11,2024-04-14,2024-04-15,Truck,965,Clear,Moderate,Yes,1,3,0,0,2,1930,0,3,4,2
SHIP000172,Kolkata,Hyderabad,2024-05-26,2024-05-29,2024-05-29,Trailer,1060,Clear,Light,No,0,3,1,0,1,1060,0,6,5,2
